Year,Source,Value,Growth (%)
1997-01-01 00:00:00,Unnamed: 1,219.532,11.52021294969876
1997-02-01 00:00:00,Unnamed: 1,169.842,-22.634513419455928
1997-03-01 00:00:00,Unnamed: 1,191.206,12.57874966145003
1997-04-01 00:00:00,Unnamed: 1,189.865,-0.7013378241268464
1997-05-01 00:00:00,Unnamed: 1,200.871,5.7967503225976325
1997-06-01 00:00:00,Unnamed: 1,172.743,-14.003016861567874
1997-07-01 00:00:00,Unnamed: 1,195.848,13.375361085543268
1997-08-01 00:00:00,Unnamed: 1,204.296,4.313549283117513
1997-09-01 00:00:00,Unnamed: 1,193.213,-5.424971609821039
1997-10-01 00:00:00,Unnamed: 1,239.624,24.02064043309715
1997-11-01 00:00:00,Unnamed: 1,203.767,-14.963860047407607
1997-12-01 00:00:00,Unnamed: 1,190.185,-6.665456133721359
1998-01-01 00:00:00,Unnamed: 1,218.095,14.67518468859268
1998-02-01 00:00:00,Unnamed: 1,158.343,-27.39723514982003
1998-03-01 00:00:00,Unnamed: 1,179.494,13.357710792393739
1998-04-01 00:00:00,Unnamed: 1,178.06,-0.7989124984679186
1998-05-01 00:00:00,Unnamed: 1,186.622,4.8084915197124545
1998-06-01 00:00:00,Unnamed: 1,128.7,-31.037069584507737
1998-07-01 00:00:00,Unnamed: 1,184.548,43.393939393939405
1998-08-01 00:00:00,Unnamed: 1,191.758,3.9068426642391074
1998-09-01 00:00:00,Unnamed: 1,186.479,-2.7529490295059356
1998-10-01 00:00:00,Unnamed: 1,202.005,8.325870473350871
1998-11-01 00:00:00,Unnamed: 1,171.31,-15.195168436424833
1998-12-01 00:00:00,Unnamed: 1,198.747,16.015994396124
1999-01-01 00:00:00,Unnamed: 1,210.996,6.163111896028606
1999-02-01 00:00:00,Unnamed: 1,162.352,-23.0544654874974
1999-03-01 00:00:00,Unnamed: 1,149.912,-7.662363260076866
1999-04-01 00:00:00,Unnamed: 1,183.534,22.427824323603176
1999-05-01 00:00:00,Unnamed: 1,222.166,21.048960955463293
1999-06-01 00:00:00,Unnamed: 1,173.903,-21.723846133071667
1999-07-01 00:00:00,Unnamed: 1,203.953,17.279747905441557
1999-08-01 00:00:00,Unnamed: 1,197.764,-3.034522659632366
1999-09-01 00:00:00,Unnamed: 1,181.899,-8.022188062539193
1999-10-01 00:00:00,Unnamed: 1,164.413,-9.61302700949428
1999-11-01 00:00:00,Unnamed: 1,192.219,16.912287957764892
1999-12-01 00:00:00,Unnamed: 1,171.056,-11.009837737164375
2000-01-01 00:00:00,Unnamed: 1,160.708,-6.049480871761304
2000-02-01 00:00:00,Unnamed: 1,185.259,15.276775269432763
2000-03-01 00:00:00,Unnamed: 1,195.714,5.643450520622495
2000-04-01 00:00:00,Unnamed: 1,187.07,-4.416648783428889
2000-05-01 00:00:00,Unnamed: 1,184.011,-1.6352167637782689
2000-06-01 00:00:00,Unnamed: 1,167.726,-8.850014401312967
2000-07-01 00:00:00,Unnamed: 1,191.305,14.058047052931567
2000-08-01 00:00:00,Unnamed: 1,194.632,1.7391077075873618
2000-09-01 00:00:00,Unnamed: 1,180.764,-7.12524148135969
2000-10-01 00:00:00,Unnamed: 1,206.142,14.039299860591692
2000-11-01 00:00:00,Unnamed: 1,200.803,-2.5899622590253357
2000-12-01 00:00:00,Unnamed: 1,207.582,3.375945578502315
2001-01-01 00:00:00,Unnamed: 1,175.982,-15.222899866077022
2001-02-01 00:00:00,Unnamed: 1,155.969,-11.372185791728706
2001-03-01 00:00:00,Unnamed: 1,168.14,7.803473767222968
2001-04-01 00:00:00,Unnamed: 1,163.973,-2.4782918996074543
2001-05-01 00:00:00,Unnamed: 1,161.457,-1.5343989559256865
2001-06-01 00:00:00,Unnamed: 1,163.772,1.4338182921768583
2001-07-01 00:00:00,Unnamed: 1,169.421,3.4493075739442602
2001-08-01 00:00:00,Unnamed: 1,173.357,2.3232066863021705
2001-09-01 00:00:00,Unnamed: 1,163.666,-5.590198261391233
2001-10-01 00:00:00,Unnamed: 1,174.181,6.424669754255619
2001-11-01 00:00:00,Unnamed: 1,166.005,-4.693967769159679
2001-12-01 00:00:00,Unnamed: 1,169.916,2.355953133941746
2002-01-01 00:00:00,Unnamed: 1,169.367,-0.3231008262906454
2002-02-01 00:00:00,Unnamed: 1,148.458,-12.345380150796782
2002-03-01 00:00:00,Unnamed: 1,159.644,7.534790984655593
2002-04-01 00:00:00,Unnamed: 1,158.336,-0.819322993660887
2002-05-01 00:00:00,Unnamed: 1,168.013,6.11168654001617
2002-06-01 00:00:00,Unnamed: 1,159.326,-5.170433240284988
2002-07-01 00:00:00,Unnamed: 1,176.434,10.737732698994517
2002-08-01 00:00:00,Unnamed: 1,163.556,-7.299046669009368
2002-09-01 00:00:00,Unnamed: 1,171.211,4.680354129472475
2002-10-01 00:00:00,Unnamed: 1,180.316,5.317999427606868
2002-11-01 00:00:00,Unnamed: 1,166.492,-7.666540961423285
2002-12-01 00:00:00,Unnamed: 1,174.133,4.589409701367053
2003-01-01 00:00:00,Unnamed: 1,169.564,-2.62385647752007
2003-02-01 00:00:00,Unnamed: 1,153.718,-9.345144016418583
2003-03-01 00:00:00,Unnamed: 1,166.337,8.209188253815425
2003-04-01 00:00:00,Unnamed: 1,162.813,-2.118590572151713
2003-05-01 00:00:00,Unnamed: 1,163.891,0.6621092910271242
2003-06-01 00:00:00,Unnamed: 1,162.635,-0.7663630095612328
2003-07-01 00:00:00,Unnamed: 1,174.308,7.17742183416854
2003-08-01 00:00:00,Unnamed: 1,171.772,-1.454895931339928
2003-09-01 00:00:00,Unnamed: 1,164.17,-4.42563397992688
2003-10-01 00:00:00,Unnamed: 1,169.075,2.9877565937747486
2003-11-01 00:00:00,Unnamed: 1,166.306,-1.6377347331065994
2003-12-01 00:00:00,Unnamed: 1,177.447,6.699096845573815
2004-01-01 00:00:00,Unnamed: 1,183.985,3.6844804364120076
2004-02-01 00:00:00,Unnamed: 1,168.663,-8.32785281408811
2004-03-01 00:00:00,Unnamed: 1,175.736,4.193569425422283
2004-04-01 00:00:00,Unnamed: 1,175.957,0.12575681704374286
2004-05-01 00:00:00,Unnamed: 1,169.777,-3.512221735992316
2004-06-01 00:00:00,Unnamed: 1,171.743,1.1579895981199018
2004-07-01 00:00:00,Unnamed: 1,183.591,6.898680004425217
2004-08-01 00:00:00,Unnamed: 1,179.526,-2.2141608248770317
2004-09-01 00:00:00,Unnamed: 1,171.017,-4.7397034412842824
2004-10-01 00:00:00,Unnamed: 1,179.681,5.066163013033798
2004-11-01 00:00:00,Unnamed: 1,173.661,-3.350382065994739
2004-12-01 00:00:00,Unnamed: 1,187.914,8.207369530291775
2005-01-01 00:00:00,Unnamed: 1,185.551,-1.2574901284630235
2005-02-01 00:00:00,Unnamed: 1,175.761,-5.276177439086826
2005-03-01 00:00:00,Unnamed: 1,180.584,2.7440672276557443
2005-04-01 00:00:00,Unnamed: 1,171.578,-4.987152793159966
2005-05-01 00:00:00,Unnamed: 1,176.617,2.9368567065707563
2005-06-01 00:00:00,Unnamed: 1,173.219,-1.923937106847018
2005-07-01 00:00:00,Unnamed: 1,182.702,5.474572650806198
2005-08-01 00:00:00,Unnamed: 1,182.796,0.0514499020262571
2005-09-01 00:00:00,Unnamed: 1,174.501,-4.53784546707805
2005-10-01 00:00:00,Unnamed: 1,178.567,2.330072607033773
2005-11-01 00:00:00,Unnamed: 1,173.209,-3.0005544137494677
2005-12-01 00:00:00,Unnamed: 1,181.612,4.851364536484826
2006-01-01 00:00:00,Unnamed: 1,187.674,3.3378851617734684
2006-02-01 00:00:00,Unnamed: 1,164.912,-12.128478105651286
2006-03-01 00:00:00,Unnamed: 1,175.5,6.4203939070534455
